,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
439,burnitup!,janet jackson,dance pop,2016,123,71,83,-7,31,83,250,5,18,31
440,picky - remix,joey montana,latin,2016,186,81,70,-3,37,69,225,9,7,29
441,behind your back,nelly furtado,canadian latin,2016,98,47,80,-10,7,69,228,25,4,18
443,shape of you,ed sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87
444,closer,the chainsmokers,electropop,2017,95,52,75,-6,11,66,245,41,3,86
445,starboy,the weeknd,canadian contemporary r&b,2017,186,59,68,-7,14,49,230,14,28,85
446,treat you better,shawn mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,84
447,that's what i like,bruno mars,pop,2017,134,56,85,-5,9,86,207,1,4,83
448,let me love you,dj snake,electronic trap,2017,100,72,65,-5,14,16,206,9,3,82
449,i feel it coming,the weeknd,canadian contemporary r&b,2017,93,82,77,-6,7,59,269,43,12,81
450,mercy,shawn mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,81
451,side to side,ariana grande,dance pop,2017,159,74,65,-6,24,61,226,5,23,80
452,stay,zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,80
453,it ain't me (with selena gomez),kygo,edm,2017,100,53,64,-7,9,52,221,12,7,79
454,malibu,miley cyrus,dance pop,2017,140,78,57,-6,8,34,232,8,6,78
455,something just like this,the chainsmokers,electropop,2017,103,65,61,-7,17,51,248,3,4,78
456,rockabye (feat. sean paul & anne-marie),clean bandit,dance pop,2017,102,76,72,-4,18,74,251,41,5,78
457,i dont wanna live forever (fifty shades darker),zayn,dance pop,2017,118,45,74,-8,33,9,245,6,6,78
458,my way,calvin harris,dance pop,2017,120,91,82,-3,16,54,219,9,4,78
459,"i'm the one (feat. justin bieber, quavo, chance the rapper & lil wayne)",dj khaled,dance pop,2017,81,67,61,-4,17,81,289,6,4,77
460,praying,kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,77
461,despacito - remix,luis fonsi,latin,2017,178,82,65,-4,10,82,229,23,17,76
462,the greatest,sia,australian dance,2017,192,73,67,-6,6,73,210,1,27,76
463,there for you,martin garrix,big room,2017,106,64,61,-8,12,13,222,12,6,76
464,paris,the chainsmokers,electropop,2017,100,64,65,-7,9,25,222,2,3,76
465,crying in the club,camila cabello,dance pop,2017,85,62,33,-6,16,60,216,33,38,75
466,mama,jonas blue,dance pop,2017,104,79,74,-4,5,57,184,10,4,75
467,slide (feat. frank ocean & migos),calvin harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,75
468,swish swish,katy perry,dance pop,2017,120,71,84,-5,10,57,243,2,4,73
469,chained to the rhythm,katy perry,dance pop,2017,190,80,45,-5,20,47,238,8,17,72
470,cold (feat. future),maroon 5,pop,2017,100,72,69,-6,5,41,234,14,11,72
471,love,lana del rey,art pop,2017,99,37,53,-11,11,23,273,49,3,72
472,reggaetón lento (remix),cnco,boy band,2017,94,91,53,-3,10,62,189,15,9,71
473,all i ask,adele,british soul,2017,142,28,59,-5,15,34,272,88,3,71
475,the cure,lady gaga,dance pop,2017,100,51,70,-5,9,52,211,8,3,71
476,"how far i'll go - from ""moana""",alessia cara,canadian contemporary r&b,2017,181,54,31,-10,7,16,176,16,35,71
477,bodak yellow,cardi b,pop,2017,125,72,93,-6,35,46,224,7,11,70
478,rich love (with seeb),onerepublic,dance pop,2017,105,87,40,-4,36,47,201,17,31,70
479,tired,alan walker,electro house,2017,124,88,69,-4,15,49,192,4,6,70
480,came here for love,sigala,dance pop,2017,125,87,71,-3,12,72,203,3,4,70
481,24k magic,bruno mars,pop,2017,107,80,82,-4,15,63,226,3,8,69
482,strip that down (feat. quavo),liam payne,dance pop,2017,106,50,87,-5,8,55,202,20,5,69
